
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,Azimuth,Pitch,Roll,Gain,Latitude,Longitude,Speed (m/s),
0.208650,-0.1666,0.3529,0.9264,0.0000,0.0000,0.0000,0.3013,-0.1330,-0.0043,939.3888,-1.9487,4.9600,-15.6137,298.6288,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.213355,-0.1666,0.3529,0.9264,0.0000,0.0000,0.0000,0.2646,-0.0715,0.0480,939.3888,-1.9487,4.9600,-15.6137,298.6288,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.242612,-0.1666,0.3529,0.9264,0.0000,0.0000,0.0000,0.2646,-0.0715,0.0480,939.3524,-1.9487,4.9600,-15.6137,298.6288,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.263034,-0.1666,0.3529,0.9264,0.0000,0.0000,0.0000,0.2646,-0.0715,0.0480,939.3524,-1.9487,4.9600,-15.6137,269.7538,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.266186,-0.1666,0.3529,0.9264,0.0000,0.0000,0.0000,0.2646,-0.0715,0.0480,939.3524,-2.0938,4.0363,-15.5300,269.7538,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.276055,-0.1506,0.3938,0.8812,0.0000,0.0000,0.0000,0.2646,-0.0715,0.0480,939.3524,-2.0938,4.0363,-15.5300,269.7538,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.281325,-0.1506,0.3938,0.8812,0.0000,0.0000,0.0000,0.0968,-0.2268,-0.0202,939.3524,-2.0938,4.0363,-15.5300,269.7538,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.322833,-0.1506,0.3938,0.8812,0.0000,0.0000,0.0000,0.0968,-0.2268,-0.0202,939.3575,-2.0938,4.0363,-15.5300,269.7538,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.336839,-0.1506,0.3938,0.8812,0.0000,0.0000,0.0000,0.0968,-0.2268,-0.0202,939.3575,-1.8288,4.1000,-15.5250,269.7538,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.343232,-0.1529,0.3756,0.9251,0.0000,0.0000,0.0000,0.0968,-0.2268,-0.0202,939.3575,-1.8288,4.1000,-15.5250,269.7538,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.347867,-0.1529,0.3756,0.9251,0.0000,0.0000,0.0000,0.1393,-0.0617,-0.0107,939.3575,-1.8288,4.1000,-15.5250,269.7538,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.402725,-0.1529,0.3756,0.9251,0.0000,0.0000,0.0000,0.1393,-0.0617,-0.0107,939.3312,-1.8288,4.1000,-15.5250,269.7538,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.407896,-0.1529,0.3756,0.9251,0.0000,0.0000,0.0000,0.1393,-0.0617,-0.0107,939.3312,-2.0400,3.6875,-15.9325,269.7538,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.410932,-0.1297,0.3960,0.9226,0.0000,0.0000,0.0000,0.1393,-0.0617,-0.0107,939.3312,-2.0400,3.6875,-15.9325,269.7538,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.415722,-0.1297,0.3960,0.9226,0.0000,0.0000,0.0000,0.1180,-0.2304,-0.0336,939.3312,-2.0400,3.6875,-15.9325,269.7538,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.442333,-0.1297,0.3960,0.9226,0.0000,0.0000,0.0000,0.1180,-0.2304,-0.0336,939.3452,-2.0400,3.6875,-15.9325,269.7538,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
